filename,Service Exclusions
America's_Choice_2500_Gold_SOB (1) (1).pdf,Acupuncture
America's_Choice_2500_Gold_SOB (1) (1).pdf,Infertility treatments
America's_Choice_2500_Gold_SOB (1) (1).pdf,Bariatric surgery
America's_Choice_2500_Gold_SOB (1) (1).pdf,Private-duty nursing
America's_Choice_2500_Gold_SOB (1) (1).pdf,Long-term care
America's_Choice_2500_Gold_SOB (1) (1).pdf,Cosmetic surgery
America's_Choice_2500_Gold_SOB (1) (1).pdf,Routine foot care
America's_Choice_2500_Gold_SOB (1) (1).pdf,Non-emergency care when traveling outside the U.S.
America's_Choice_2500_Gold_SOB (1) (1).pdf,Dental care (Adult)
America's_Choice_2500_Gold_SOB (1) (1).pdf,Weight loss programs
