Common Medical Event,Services You May Need,Member out of pocket,Limitations, Exceptions, & Other Important Information,filename
Emergency medical,"transportation",20% after deductible,"Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
Urgent care,,Professional Fees: 20% after deductible,"Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you have a hospital stay,Facility fee (e.g., hospital room),Facility: 20% of plan allowable,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_5000_HSA_SOB (2).pdf
If you have a hospital stay,,deductible does not apply,,America's_Choice_5000_HSA_SOB (2).pdf
If you have a hospital stay,Physician/surgeon fees,Professional Fees: 20% after deductible,"Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you need mental health, Outpatient services, Deductible/Coinsurance, "Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you need mental health, Inpatient services, Deductible/Coinsurance, "Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.",America's_Choice_5000_HSA_SOB (2).pdf
If you are pregnant,Office visits,Professional Fees: 20% after deductible,"Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you are pregnant,Childbirth/delivery professional services,Professional Fees: 20% after deductible,"Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you are pregnant,Childbirth/delivery facility services,Facility: 20% of plan allowable, "Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you are pregnant,,deductible does not apply,,America's_Choice_5000_HSA_SOB (2).pdf
If you need help recovering,Home health care,20% after deductible,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_5000_HSA_SOB (2).pdf
If you need help recovering,Rehabilitation services,"20% after copayment, per visit","Limited to 20 visits per Calendar Year for physical, and occupational therapies each, 20 visits for Speech, 15 visits for Chiropractic. Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you need help recovering,Skilled nursing care,Facility: 20% of plan allowable,"Limited to 60 days per Calendar Year. Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable",America's_Choice_5000_HSA_SOB (2).pdf
If you need help recovering,,deductible does not apply,,America's_Choice_5000_HSA_SOB (2).pdf
If you need help recovering,,Professional Fees: 20% after deductible,,America's_Choice_5000_HSA_SOB (2).pdf
