Service,Description,Filename
Acupuncture,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Infertility treatments,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Bariatric surgery,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Private-duty nursing,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Long-term care,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Cosmetic surgery,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Routine foot care,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Non-emergency care when traveling outside the U.S.,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Dental care (Adult),Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
Weight loss programs,Not covered,"America's_Choice_5000_HSA_SOB (2).pdf"
