Medical Event,Services You May Need,Member Out of Pocket,Limitations, Exceptions, & Other Important Information,filename
If you visit a health care provider’s office or clinic,Primary care visit to treat an injury or illness,$25 copay/visit,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you visit a health care provider’s office or clinic,Specialist visit,$45 copay/visit,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you visit a health care provider’s office or clinic,Preventive care/screening/immunization,0% coinsurance,You may have to pay for services that aren’t preventive. Ask your provider if the services you need are preventive. Then check what your plan will pay for. Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you have a test,Diagnostic test (blood work),Facility: 0% of plan allowable, deductible does not apply; Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you have a test,Imaging (X-Ray, CT/PET scans, MRIs),Facility: 0% of plan allowable, deductible does not apply; Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need drugs to treat your illness or condition,Generic drugs,America’s Pharmacy Source,Please refer to www.myfreepharmacy.com for list of covered medications.,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need drugs to treat your illness or condition,Preferred brand drugs,America’s Pharmacy Source,,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need drugs to treat your illness or condition,Non-preferred brand drugs,Not covered,,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need drugs to treat your illness or condition,Specialty drugs,Not covered,None,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you have outpatient surgery,Facility fee (e.g., ambulatory surgery center),Facility: 0% of plan allowable, deductible does not apply,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you have outpatient surgery,Physician/surgeon fees,Professional Fees: 0% after deductible, subject to plan allowable,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
